overline,source,title,link,date,blurb,href
Messages to the university community,,,,,,campus
,President Joseph E. Aoun,Reaffirming our core values,http://www.northeastern.edu/president/2017/02/05/reaffirming-our-core-values/,2/5/2017,,
,President Joseph E. Aoun and the Senior Leadership Team,Embracing our global community,http://www.northeastern.edu/president/2017/01/28/embracing-our-global-community/,1/28/2017,,
,President Joseph E. Aoun,The promise of a new year,http://www.northeastern.edu/president/2017/01/09/the-promise-of-new-year/,1/9/2017,,
,President Joseph E. Aoun,"Unity, respect, and inclusion",http://www.northeastern.edu/president/2016/11/14/unity-respect-and-inclusion-2/,11/14/2016,,
,,,,,,
UNIVERSITY ACTIONS,,,,,,public
,News@Northeastern,University offers spring break travel advice for international trips,https://news.northeastern.edu/2017/02/northeastern-offers-spring-break-travel-advice-for-international-trips/,2/28/2017,,
,News@Northeastern,Northeastern to hold info session for students on Trump’s executive orders on immigration,https://news.northeastern.edu/2017/02/northeastern-to-hold-info-session-today-on-trumps-executive-orders-on-immigration/,2/27/2017,,
,News@Northeastern,"Northeastern, Mass. universities file amicus brief against travel, refugee ban",https://news.northeastern.edu/2017/02/northeastern-mass-universities-file-amicus-brief-against-travel-refugee-ban/,2/3/2017,,
,American Council on Education,Letter from college and university presidents to Homeland Security secretary on president's immigration executive order,http://www.acenet.edu/news-room/Pages/Letter-From-College-and-University-Presidents-to-Homeland-Security-Secretary-on-Presidents-Immigration-Executive-Order.aspx,2/3/2017,,
,American Association for the Advancement of Science,Letter on immigration,https://mcmprodaaas.s3.amazonaws.com/s3fs-public/Multisociety%20Letter%20on%20Immigration%201-31-2017.pdf,1/31/2017,,
,News@Northeastern,President Aoun joins effort to protect some students from possible deportation,https://news.northeastern.edu/2016/11/president-aoun-joins-effort-to-protect-some-students-from-possible-deportation/,11/22/2016,,
,,,,,,
Resources,,,,,,resources
,,Office of Global Services,https://www.northeastern.edu/ogs/,,The Office of Global Services serves as a resource for faculty and administrators engaged globally and for international students and scholars on Northeastern’s campuses. The office provides professional expertise and support to students and scholars around their academic and employment experiences.,
,,Office of the General Counsel,http://www.northeastern.edu/general-counsel/,,"The Office of the General Counsel is responsible for all aspects of the legal representation of Northeastern. The office centralizes and coordinates all legal services at the university, and provides legal advice, guidance, and services to all senior university officials and their departments.",
,,Office of Human Resources Management,http://www.northeastern.edu/hrm/,,"The Human Resources Management office designs, develops, and continually refines a comprehensive human resources management program that attracts, rewards, and retains high-quality faculty and staff to meet Northeastern’s educational mission.",
,,Office of Institutional Diversity and Inclusion,http://www.northeastern.edu/oidi/,,"The Institutional Diversity and Inclusion office works with students, faculty, administrators, and staff to manage conflict and resolve complaints of discrimination and harassment. The office develops programs and policies, builds outreach to external organizations, and provides services to students, faculty, staff, and the community.",
,,Ombuds Office,http://www.northeastern.edu/ombuds/,,The Ombuds office offers a safe place for Northeastern faculty and staff to confidentially discuss workplace issues and concerns with a professional whose goal it is to ensure that all members of the university community are treated fairly and equitably.,
,,We Care,http://www.northeastern.edu/wecare/,,The We Care office supports students who experience unexpected challenges in maintaining their academic progress. We Care works with students to coordinate assistance among university offices and to offer appropriate on- and off-campus referrals. The office also provides guidance to faculty and staff in identifying Northeastern resources and policies to help students succeed.,
,,,,,,
Office of Global Services updates,,,,,,global
,,U.S. 9th Circuit Court of Appeals ruled to continue blocking President Trump’s travel ban,https://www.northeastern.edu/ogs/travel-under-new-executive-order/,2/9/2017,,
,,Events planned for community members affected by the executive order,https://www.northeastern.edu/ogs/travel-under-new-executive-order/,2/5/2017,,
,,U.S. citizenship and immigration services update,https://www.northeastern.edu/ogs/travel-under-new-executive-order/,2/4/2017,,
,,No current plans to expand travel ban beyond current countries,https://www.northeastern.edu/ogs/travel-under-new-executive-order/,2/4/2017,,
,,Clarification from DHS and DOS re: implementation of executive order on immigration,https://www.northeastern.edu/ogs/travel-under-new-executive-order/,2/4/2017,,
,,Travel alert under President Trump’s immigration executive order,https://www.northeastern.edu/ogs/travel-under-new-executive-order/,2/1/2017,,
,,Office of Global Services upcoming events,https://www.northeastern.edu/ogs/events/category/event/,Ongoing,,
,,,,,,
IN THE NEWS,,,,,,news
,The Boston Globe,Trump’s low road on immigration will hurt Mass. higher ed,https://www.bostonglobe.com/business/2017/02/09/trump-low-road-immigration-will-hurt-mass-higher/NxInahXBbLyB3mRgXd7DyK/story.html,2/9/2017,,
,News@Northeastern,"Northeastern, Mass. universities file amicus brief against travel, refugee ban",https://news.northeastern.edu/2017/02/northeastern-mass-universities-file-amicus-brief-against-travel-refugee-ban/,2/3/2017,,
,The Washington Post,The ‘sanctuary city’ on the front line of the fight over Trump’s immigration policy,https://www.washingtonpost.com/national/we-cannot-afford-to-make-our-community-less-safe-by-driving-people-into-the-shadows/2017/02/02/f14ed2d6-e5ac-11e6-ba11-63c4b4fb5a63_story.html?utm_term=.864e8c5ae0df,2/2/2017,,
,The Wall Street Journal,U.S. Colleges Make Plans for Extended Travel Ban,https://www.wsj.com/articles/u-s-colleges-make-plans-for-extended-travel-ban-1485980879,2/1/2017,,
,The Boston Globe,"Colleges in Boston mobilize to help students, academics affected by Trump order",https://www.bostonglobe.com/metro/2017/01/30/colleges-mobilize-help-students-academics-affected-trump-order/LuDQ7ieO3ZjoqqwtHgdzKJ/story.html,1/30/2017,,
,U.S. News & World Report,Universities Push Back Against Trump on Immigration,http://www.usnews.com/news/education-news/articles/2017-01-30/colleges-universities-academics-push-back-against-trump-immigration-orders,1/30/2017,,
,Boston Magazine,Boston’s Colleges Speak out Against Donald Trump’s Muslim Travel Ban,http://www.bostonmagazine.com/news/blog/2017/01/30/boston-colleges-trump-muslim-travel-ban/,1/30/2017,,
,The Boston Globe,Boston-area academics face bans on entering US,https://www.bostonglobe.com/metro/2017/01/28/boston-area-academics-facing-bans-entering/StddgeCOncofRfEFVG7LTL/story.html,1/28/2017,,
,Boston Business Journal,Boston-area universities cope with Trump immigration ban,http://www.bizjournals.com/boston/news/2017/01/28/boston-area-universities-cope-with-trump.html,1/28/2017,,
,,,,,,
Additional information,,,,,,additional
,,Executive Order: Protecting the Nation from Foreign Terrorist Entry into the United States,https://www.whitehouse.gov/the-press-office/2017/03/06/executive-order-protecting-nation-foreign-terrorist-entry-united-states,3/6/2017,,
,,Executive Order: Protecting the Nation from Foreign Terrorist Entry into the United States,https://www.whitehouse.gov/the-press-office/2017/01/27/executive-order-protecting-nation-foreign-terrorist-entry-united-states,1/27/2017,,
,,Executive Order: Border Security and Immigration Enforcement Improvements,https://www.whitehouse.gov/the-press-office/2017/01/25/executive-order-border-security-and-immigration-enforcement-improvements,1/25/2017,,
,,Executive Order: Enhancing Public Safety in the Interior of the United States,https://www.whitehouse.gov/the-press-office/2017/01/25/presidential-executive-order-enhancing-public-safety-interior-united,1/25/2017,,
